id,kindred_id,bet_offer_name,has_started,home_odd,away_odd,etl_time
383,1008117668,Match Odds,false,1.3,3.5,2021-10-01 04:01:00 UTC
997,1008136179,Match Odds,false,1.3,3.5,2021-10-07 13:01:00 UTC
294,1008104907,Match Odds,false,1.26,3.75,2021-09-27 13:01:00 UTC
606,1008136423,Match Odds,false,1.26,3.75,2021-10-06 07:01:00 UTC
196,1008075451,Match Odds,false,1.27,3.75,2021-09-17 19:01:00 UTC
1034,1008139653,Match Odds,false,1.28,3.75,2021-10-07 16:01:00 UTC
1171,1008139653,Match Odds,false,1.28,3.75,2021-10-07 19:01:00 UTC
1269,1008139653,Match Odds,false,1.28,3.75,2021-10-08 04:01:00 UTC
1220,1008139653,Match Odds,false,1.28,3.75,2021-10-07 22:01:00 UTC
289,1008076183,Match Odds,false,1.24,3.75,2021-09-18 13:01:00 UTC
106,1008083936,Match Odds,false,1.24,3.75,2021-09-22 13:01:00 UTC
259,1008018611,Match Odds,false,1.25,4,2021-09-02 16:01:00 UTC
1059,1008135301,Match Odds,false,1.25,4,2021-10-07 16:01:00 UTC
1254,1008140247,Match Odds,false,1.25,4,2021-10-08 04:01:00 UTC
984,1008135301,Match Odds,false,1.25,4,2021-10-07 13:01:00 UTC
630,1008128834,Match Odds,false,1.22,4,2021-10-04 19:01:00 UTC
22,1008074497,Match Odds,false,1.23,4,2021-09-18 04:01:00 UTC
566,1008128835,Match Odds,false,1.2,4.25,2021-10-04 19:01:00 UTC
237,1008106937,Match Odds,false,1.21,4.5,2021-09-28 19:01:00 UTC
491,1008106937,Match Odds,false,1.21,4.5,2021-09-28 19:01:00 UTC
735,1008136409,Match Odds,false,1.22,4.5,2021-10-06 16:01:00 UTC
812,1008136409,Match Odds,false,1.22,4.5,2021-10-06 19:01:00 UTC
684,1008136409,Match Odds,false,1.22,4.5,2021-10-06 13:01:00 UTC
223,1008105274,Match Odds,false,1.18,4.5,2021-09-27 07:01:00 UTC
571,1008132602,Match Odds,false,1.18,4.5,2021-10-05 19:01:00 UTC
664,1008136409,Match Odds,false,1.2,4.75,2021-10-06 10:01:00 UTC
539,1008132600,Match Odds,false,1.15,5,2021-10-05 16:01:00 UTC
909,1008136252,Match Odds,false,1.16,5,2021-10-07 07:01:00 UTC
1158,1008136561,Match Odds,false,1.16,5,2021-10-07 19:01:00 UTC
1189,1008136561,Match Odds,false,1.16,5,2021-10-07 22:01:00 UTC
190,1008116583,Match Odds,false,1.16,5,2021-09-30 04:01:00 UTC
931,1008136252,Match Odds,false,1.16,5,2021-10-07 10:01:00 UTC
1073,1008136252,Match Odds,false,1.16,5,2021-10-07 16:01:00 UTC
1246,1008136252,Match Odds,false,1.16,5,2021-10-08 04:01:00 UTC
1191,1008136252,Match Odds,false,1.16,5,2021-10-07 22:01:00 UTC
1267,1008136561,Match Odds,false,1.16,5,2021-10-08 04:01:00 UTC
996,1008136252,Match Odds,false,1.16,5,2021-10-07 13:01:00 UTC
1072,1008136561,Match Odds,false,1.16,5,2021-10-07 16:01:00 UTC
1154,1008136252,Match Odds,false,1.16,5,2021-10-07 19:01:00 UTC
121,1008115398,Match Odds,false,1.15,5.25,2021-09-30 07:01:00 UTC
583,1008132593,Match Odds,false,1.13,5.5,2021-10-05 16:01:00 UTC
133,1008101779,Match Odds,false,1.13,5.5,2021-09-25 16:01:00 UTC
540,1008128839,Match Odds,false,1.13,5.5,2021-10-04 19:01:00 UTC
593,1008135302,Match Odds,false,1.13,6,2021-10-05 22:01:00 UTC
1075,1008135302,Match Odds,false,1.14,6,2021-10-07 16:01:00 UTC
1141,1008135302,Match Odds,false,1.14,6,2021-10-07 19:01:00 UTC
